author_id,headline,skills,employment,projects,profile_summary,accomplishment
8,Dust storm,Strategic Communications,FALSE,"Bee-eater, white-fronted","Reposition Right Hand Muscle, Open Approach","Maternal care for (suspected) fetal abnormality and damage, unspecified, fetus 4"
9,Talipes cavus,Phase II ESA,TRUE,"Tortoise, galapagos","Drainage of Ascending Colon, Endo","Other fracture of T7-T8 thoracic vertebra, initial encounter for closed fracture"
10,Adjustment reaction with withdrawal,Duty Drawback,TRUE,Coqui francolin,"Repair Left Acetabulum, Percutaneous Approach",Atrophy of left orbit
11,Fuchs' heterochromic cyclitis,IDoc,TRUE,Two-banded monitor,"Bypass Cystic Duct to Cystic Duct, Open Approach",Displaced fracture of proximal third of navicular [scaphoid] bone of left wrist
12,"Circadian rhythm sleep disorder, free-running type",PFEP,TRUE,"Hare, arctic","Supplement R Int Jugular Vein with Nonaut Sub, Open Approach",Other biomechanical lesions of cervical region
13,Need for prophylactic vaccination and inoculation against leishmaniasis,Urban Forestry,TRUE,"Hyena, striped",Stereotactic Particulate Radiosurgery of Ileum,"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
14,"Egg (oocyte) (ovum) donor, under age 35, anonymous recipient",HTRI Software,TRUE,Red sheep,Hyperthermia of Nose,"Pathological fracture in neoplastic disease, unspecified tibia and fibula, subsequent encounter for fracture with routine healing"
15,"Other primary progressive tuberculosis, bacteriological or histological examination not done",CADS RC,FALSE,Javan gold-spotted mongoose,"Supplement L Tympanic Membrane with Synth Sub, Via Opening","Unspecified injury of superficial palmar arch of unspecified hand, sequela"
18,Respiratory conditions due to smoke inhalation,BMD,TRUE,"Crane, sandhill","Introduction of Vasopressor into Central Art, Perc Approach",Laceration with foreign body of unspecified finger without damage to nail
19,Atony of bladder,Digital Photography,TRUE,"Gazer, sun","Fusion Cerv Jt w Intbd Fus Dev, Ant Appr A Col, Perc Endo","Rheumatoid arthritis without rheumatoid factor, ankle and foot"
20,Grand mal status,JPEG2000,TRUE,"Waterbuck, defassa","Release Right Kidney Pelvis, Via Opening","Poisoning by unspecified topical agent, assault, initial encounter"
21,"Syphilis of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",Owner-managed businesses,FALSE,"Owl, white-browed",Stereotactic Other Photon Radiosurgery of Mediastinum,"Other injury of other muscles, fascia and tendons at forearm level"
22,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",PTMS,TRUE,"Porcupine, tree","Removal of Autol Sub from R Hip Jt, Perc Endo Approach",Corrosion of third degree of back of right hand
23,Nonspecific abnormal oculomotor studies,Computer Games,TRUE,Northern elephant seal,"Beam Radiation of Soft Palate using Electrons, Intraop",Sepsis due to Methicillin resistant Staphylococcus aureus
24,Vertebral artery syndrome,LS-DYNA,FALSE,Cape wild cat,"Reposition Left Orbit with Int Fix, Perc Endo Approach","Sprain of carpal joint of unspecified wrist, subsequent encounter"
25,Toxic uninodular goiter with mention of thyrotoxic crisis or storm,Object Pascal,FALSE,"Seal, common","Repair Right Anterior Tibial Artery, Perc Endo Approach","Stress fracture, pelvis, subsequent encounter for fracture with nonunion"
27,Cryptophthalmos,RCM,TRUE,Yellow-billed hornbill,"Excision of Lower Back, Open Approach, Diagnostic","Driver of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
28,"Blisters, epidermal loss [second degree] of neck",Xerox Printers,FALSE,Red meerkat,"Excision of Left Anterior Tibial Artery, Perc Approach",Unspecified dacryocystitis of bilateral lacrimal passages
29,Other burns of eyelids and periocular area,iHotelier,TRUE,Grizzly bear,"Drainage of Abducens Nerve, Percutaneous Approach","Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
1,"Other open skull fracture with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level",Pyxis,TRUE,"Drongo, fork-tailed","Destruction of Right Frontal Sinus, Open Approach",Unspecified injury of celiac artery
2,"Catatonic type schizophrenia, chronic",CQT,FALSE,Gray heron,"Bypass Splenic Art to R Renal A w Autol Art, Open","Corrosion of eye and adnexa, part unspecified"
3,"Palindromic rheumatism, lower leg",Kontakt,TRUE,Arctic hare,"Dilate R Renal Art w Drug-elut Intra, Perc Endo",Personal history of other diseases of the circulatory system
4,"Malignant histiocytosis, lymph nodes of axilla and upper limb",ODI,FALSE,Galapagos albatross,Fluoroscopy of Lumbar Spine using High Osmolar Contrast,Open bite of abdominal wall with penetration into peritoneal cavity
5,Respiratory conditions due to unspecified external agent,5 Why,TRUE,Greater blue-eared starling,"Measurement of POC, Cardiac Rate, Via Opening","Salter-Harris Type III physeal fracture of lower end of radius, unspecified arm, subsequent encounter for fracture with routine healing"
6,"Tricuspid atresia and stenosis, congenital",Silhouette FX,FALSE,Common boubou shrike,"Reposition Right Fibula with Int Fix, Perc Approach","Unspecified displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with routine healing"
7,"Unspecified deformity of forearm, excluding fingers",SQL Tuning,FALSE,Banded mongoose,"Bypass R Int Jugular Vein to Up Vein w Autol Art, Open","Displaced fracture of left tibial tuberosity, subsequent encounter for closed fracture with delayed healing"
